name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_601,True,True,0.6601,1.25,0.22,0.7866,0.7341,0.732,True
test_602,True,True,0.0090,1.16,1.14,0.6471,0.7032,0.744,True
test_603,True,True,0.0632,0.45,0.55,0.7500,0.7993,0.735,True
test_604,True,True,0.9599,1.07,0.42,0.6890,0.7046,0.753,True
test_605,True,True,0.5112,0.49,0.31,0.7884,0.7989,0.750,True
test_606,True,True,0.4240,0.29,0.95,0.7500,0.7576,0.746,True
test_607,True,True,0.5292,0.84,0.02,0.7938,0.8363,0.747,True
test_608,True,True,0.0545,0.56,0.48,0.8667,0.8080,0.723,True
test_609,True,True,0.1130,0.13,0.05,0.8647,0.8053,0.727,True
test_610,True,True,0.7359,0.75,0.40,0.7884,0.7505,0.735,True
test_611,True,True,0.8840,1.58,0.20,0.7884,0.7203,0.729,True
test_612,True,True,0.6017,0.57,0.36,0.8686,0.8054,0.738,True
test_613,True,True,0.5199,1.34,0.53,0.7902,0.7576,0.745,True
test_614,True,True,0.4226,0.61,0.05,0.8647,0.8293,0.739,True
test_615,True,True,1.0584,1.99,0.34,0.6970,0.6689,0.753,True
test_616,True,True,0.3827,0.56,0.04,0.8686,0.8449,0.745,True
test_617,True,True,1.1725,1.76,0.07,0.6509,0.6744,0.751,True
test_618,True,True,0.7717,1.19,0.02,0.7500,0.7705,0.751,True
test_619,True,True,1.2492,1.22,0.73,0.6874,0.6691,0.749,True
test_620,True,True,0.8765,1.07,0.30,0.7902,0.7313,0.747,True
test_621,True,True,0.9350,1.83,0.37,0.6986,0.7239,0.745,True
test_622,True,True,0.2071,0.33,0.01,0.8667,0.8769,0.752,True
test_623,True,True,0.0520,0.46,0.54,0.7500,0.8323,0.750,True
test_624,True,True,0.0413,0.25,0.19,0.8667,0.8717,0.739,True
test_625,True,True,0.2357,0.35,0.02,0.8667,0.8599,0.742,True
test_626,True,True,0.0058,0.58,0.57,0.7500,0.7997,0.740,True
test_627,True,True,0.1511,0.72,0.95,0.6471,0.7430,0.727,True
test_628,True,True,0.3657,1.51,0.94,0.8667,0.7107,0.726,True
test_629,True,True,0.4738,2.04,1.30,0.5556,0.6359,0.723,True
test_630,True,True,0.0526,0.12,0.20,1.0000,0.8611,0.740,True
test_631,True,True,0.2319,0.17,0.19,0.8667,0.8585,0.745,True
test_632,True,True,0.2804,0.32,0.12,1.0000,0.8363,0.746,True
test_633,True,True,0.4789,0.41,0.33,0.8667,0.8248,0.745,True
test_634,True,True,1.7491,3.98,1.26,0.5408,0.5163,0.725,True
test_635,True,True,1.3207,2.93,0.88,0.6000,0.6052,0.723,True
test_636,True,True,0.9380,1.66,0.20,0.7866,0.7259,0.734,True
test_637,True,True,0.5612,1.48,0.61,0.7938,0.7429,0.734,True
test_638,True,True,0.9121,2.09,0.67,0.6970,0.6555,0.731,True
test_639,True,True,0.6392,1.63,0.63,0.7902,0.7071,0.734,True
test_640,True,True,1.0204,2.01,0.42,0.6970,0.6859,0.736,True
test_641,True,True,1.1255,2.92,1.16,0.6159,0.5666,0.730,True
test_642,True,True,1.4782,2.12,0.18,0.6874,0.6015,0.741,True
test_643,True,True,0.7803,1.21,0.01,0.7500,0.7894,0.741,True
test_644,True,True,0.3442,0.62,0.09,0.8667,0.8480,0.738,True
test_645,True,True,0.4317,1.28,0.61,0.8667,0.7422,0.749,True
test_646,True,True,0.1172,0.21,0.39,0.8667,0.8169,0.742,True
test_647,True,True,0.1869,0.50,0.79,0.8667,0.7494,0.735,True
test_648,True,True,0.4201,0.19,0.85,0.7500,0.7695,0.747,True
test_649,True,True,0.4166,0.33,0.98,0.7500,0.7552,0.740,True
test_650,True,True,0.3875,1.63,1.03,0.7500,0.7245,0.749,True
test_951,True,True,0.3090,1.40,0.92,0.8667,0.7368,0.714,True
test_952,True,True,0.3432,0.47,0.06,0.8667,0.8123,0.702,True
test_953,True,True,0.5553,1.25,0.39,0.7500,0.7330,0.710,True
test_954,True,True,0.2318,1.37,1.01,0.7500,0.7197,0.710,True
test_955,True,True,0.0468,1.50,1.57,0.6471,0.6205,0.711,True
test_956,True,True,0.0865,0.18,0.32,1.0000,0.7893,0.714,True
test_957,True,True,0.0903,1.13,0.99,0.7500,0.7272,0.715,True
test_958,True,True,0.5655,0.16,0.72,0.7902,0.7571,0.712,True
test_959,True,True,1.2092,2.54,0.66,0.6166,0.6456,0.720,True
test_960,True,True,0.7778,0.95,0.26,0.7526,0.7397,0.719,True
test_961,True,True,0.4525,0.12,0.83,0.7500,0.7406,0.718,True
test_962,True,True,0.1900,0.86,0.57,0.8667,0.7764,0.718,True
test_963,True,True,0.0282,0.55,0.51,0.8667,0.8008,0.726,True
test_964,True,True,0.3499,0.68,0.13,0.8686,0.8071,0.728,True
test_965,True,True,0.9595,1.71,0.21,0.7586,0.7101,0.727,True
