name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_0,True,True,4.9952,2.98,10.91,0.1141,0.4281,0.062,True
test_1,True,True,4.3133,26.26,19.36,0.0000,0.4898,0.000,False
test_2,True,True,2.6274,4.29,8.39,0.0884,0.3569,0.064,True
test_3,True,True,23.2490,110.69,73.96,0.0000,0.3067,0.040,False
test_4,True,True,5.3098,1.02,9.83,0.1512,0.3725,0.377,False
test_5,True,True,0.4490,0.18,0.89,0.7517,0.4432,0.543,True
test_6,True,True,19.8769,66.58,35.27,0.0398,0.3737,0.000,False
test_7,True,True,5.1385,0.54,8.77,0.1554,0.4429,0.126,False
test_8,True,True,0.1107,2.56,2.75,0.4907,0.3888,0.510,True
test_9,True,True,1.9553,8.21,5.02,0.1780,0.2308,0.373,True
test_10,True,True,21.9473,62.67,27.94,0.0380,0.1404,0.000,False
test_11,True,True,9.2010,1.57,13.60,0.0889,0.1882,0.445,False
test_12,True,True,20.7420,85.53,52.80,0.0000,0.2943,0.216,False
test_13,True,True,15.8735,45.09,18.76,0.0499,0.1962,0.000,False
test_14,True,True,19.1498,44.13,14.00,0.0431,0.3709,0.000,False
test_15,True,True,3.0853,4.54,0.55,0.3195,0.2070,0.000,True
test_16,True,True,27.6039,100.69,56.34,0.0185,0.2163,0.000,False
test_17,True,True,14.8256,97.68,73.14,0.0000,0.0905,0.408,False
test_18,True,True,3.8872,27.53,20.95,0.0000,0.1563,0.438,False
test_19,True,True,6.7653,17.30,6.63,0.1259,0.3844,0.000,False
test_20,True,True,1.8141,25.84,22.91,0.0000,0.0472,0.451,False
test_21,True,True,8.4539,64.19,50.78,0.0000,0.0851,0.257,False
test_22,True,True,11.5940,3.11,21.50,0.0752,0.1251,0.100,False
test_23,True,True,20.0511,58.78,27.14,0.0415,0.1400,0.000,False
test_24,True,True,0.2309,27.00,27.37,0.0000,0.0659,0.000,False
test_25,True,True,3.3714,18.61,13.00,0.0043,0.0749,0.452,False
test_26,True,True,33.2233,106.93,53.66,0.0248,0.1017,0.469,False
test_27,True,True,0.2050,14.45,14.79,0.0000,0.1330,0.106,False
test_28,True,True,28.1579,95.38,50.60,0.0294,0.1155,0.484,False
test_29,True,True,1.8469,47.05,44.07,0.0000,0.0677,0.172,False
test_30,True,True,13.3907,42.36,20.72,0.0619,0.4332,0.000,False
test_31,True,True,5.6857,49.00,39.91,0.0000,0.3958,0.000,False
test_32,True,True,13.9313,44.38,21.97,0.0579,0.3634,0.000,False
test_33,True,True,6.9206,17.34,5.05,0.1212,0.2801,0.000,False
test_34,True,True,11.4980,28.14,9.15,0.0698,0.3521,0.000,False
test_35,True,True,4.2634,28.23,21.48,0.0000,0.4885,0.000,False
test_36,True,True,1.2266,3.10,1.11,0.6203,0.4625,0.500,True
test_37,True,True,14.0924,47.35,24.74,0.0537,0.3022,0.000,False
test_38,True,True,3.0843,0.25,4.73,0.2672,0.3266,0.245,True
test_39,True,True,10.1387,31.13,15.17,0.0795,0.4349,0.000,False
test_40,True,True,16.9480,38.12,11.39,0.0478,0.3206,0.000,False
test_41,True,True,5.3887,43.59,34.80,0.0000,0.3798,0.000,False
test_42,True,True,30.7834,100.37,51.18,0.0271,0.3281,0.504,False
test_43,True,True,9.6715,40.86,25.70,0.0011,0.4171,0.000,False
test_44,True,True,0.1828,3.69,3.40,0.3513,0.4296,0.526,True
test_45,True,True,0.7488,21.77,20.50,0.0000,0.4154,0.000,False
