name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_0,True,True,0.5840,0.00,0.94,0.7959,0.3670,0.540,True
test_1,True,True,4.5542,9.01,16.29,0.0082,0.4367,0.000,True
test_2,True,True,1.1400,4.52,6.31,0.0874,0.3437,0.301,True
test_3,True,True,24.2086,112.15,73.87,0.0000,0.2664,0.105,False
test_4,True,True,6.4791,0.18,10.14,0.1374,0.3022,0.457,False
test_5,True,True,5.1733,6.91,15.05,0.0394,0.3746,0.000,False
test_6,True,True,37.5316,101.46,39.80,0.0207,0.3576,0.000,False
test_7,True,True,0.6099,0.56,0.43,0.8717,0.4243,0.520,True
test_8,True,True,23.6498,72.10,34.59,0.0347,0.3620,0.000,False
test_9,True,True,6.2648,12.05,1.64,0.1390,0.1793,0.278,False
test_10,True,True,0.0084,1.23,1.22,0.7594,0.2853,0.000,True
test_11,True,True,6.5687,3.86,6.85,0.1345,0.1457,0.088,False
test_12,True,True,22.2960,86.21,50.92,0.0008,0.2705,0.471,False
test_13,True,True,6.2735,4.89,5.95,0.1342,0.1368,0.435,False
test_14,True,True,11.4374,2.88,20.91,0.0766,0.3111,0.176,False
test_15,True,True,6.0538,60.13,50.45,0.0000,0.1683,0.294,False
test_16,True,True,32.2757,103.67,50.84,0.0243,0.3073,0.000,False
test_17,True,True,4.3316,101.18,107.95,0.0000,0.0843,0.063,False
test_18,True,True,10.9959,77.65,60.05,0.0000,0.1470,0.158,False
test_19,True,True,20.0316,7.31,38.84,0.0407,0.2925,0.081,False
test_20,True,True,1.3213,14.77,12.65,0.0000,0.0780,0.276,False
test_21,True,True,1.4133,31.92,34.20,0.0000,0.1453,0.165,False
test_22,True,True,11.3945,13.66,4.42,0.0755,0.1333,0.209,False
test_23,True,True,17.1472,19.48,46.54,0.0049,0.1797,0.068,False
test_24,True,True,14.9975,65.57,41.96,0.0000,0.0922,0.299,False
test_25,True,True,16.2187,29.75,55.37,0.0000,0.0856,0.393,False
test_26,True,True,21.0874,1.80,35.56,0.0381,0.1284,0.118,False
test_27,True,True,21.2853,23.75,57.44,0.0041,0.1109,0.047,False
test_28,True,True,15.4013,89.93,65.38,0.0000,0.1363,0.461,False
test_29,True,True,19.1069,57.12,27.08,0.0435,0.1272,0.210,False
test_30,True,True,17.0695,35.44,8.06,0.0485,0.2952,0.000,False
test_31,True,True,13.9523,51.54,29.54,0.0224,0.3237,0.000,False
test_32,True,True,13.6515,44.04,22.06,0.0588,0.3677,0.000,False
test_33,True,True,0.9762,8.43,6.76,0.0493,0.1866,0.436,True
test_34,True,True,6.7369,5.97,4.60,0.1313,0.3393,0.348,False
test_35,True,True,6.7598,36.95,26.29,0.0000,0.3821,0.000,False
test_36,True,True,17.7295,46.51,18.60,0.0479,0.4271,0.000,False
test_37,True,True,1.4206,4.38,6.76,0.1018,0.3344,0.298,True
test_38,True,True,6.7382,10.33,20.95,0.0113,0.2810,0.076,False
test_39,True,True,3.1188,6.38,1.30,0.3288,0.3658,0.472,True
test_40,True,True,5.6417,30.97,21.91,0.0000,0.2665,0.000,False
test_41,True,True,13.0456,32.40,11.56,0.0644,0.3766,0.000,False
test_42,True,True,18.8305,49.74,19.57,0.0441,0.3046,0.000,False
test_43,True,True,5.8166,8.04,17.19,0.0234,0.3384,0.058,False
test_44,True,True,16.9014,60.00,33.39,0.0313,0.3745,0.000,False
test_45,True,True,3.8166,0.17,6.51,0.2018,0.3029,0.332,True
test_46,True,True,14.0302,43.12,20.41,0.0579,0.2840,0.000,False
test_47,True,True,4.7899,32.32,39.79,0.0000,0.2062,0.156,False
test_48,True,True,22.9006,117.08,80.91,0.0000,0.2331,0.466,False
test_49,True,True,3.9739,7.61,0.80,0.2257,0.1600,0.390,True
test_50,True,True,6.6494,0.61,10.40,0.1281,0.3154,0.000,False
test_51,True,True,5.9333,3.46,13.14,0.1048,0.3693,0.000,False
test_52,True,True,6.9767,11.97,0.51,0.1212,0.2850,0.123,False
test_53,True,True,4.1010,5.47,12.09,0.0541,0.3384,0.028,True
test_54,True,True,0.5439,0.89,0.02,0.8675,0.3536,0.506,True
test_55,True,True,6.2075,2.60,7.70,0.1443,0.2824,0.000,False
test_56,True,True,0.6963,3.83,4.96,0.1389,0.3284,0.534,True
test_57,True,True,7.5546,9.16,21.52,0.0269,0.2842,0.000,False
test_58,True,True,4.5803,6.92,14.54,0.0319,0.3275,0.000,True
test_59,True,True,3.5373,18.10,24.03,0.0000,0.3356,0.000,False
test_60,True,True,4.0432,37.68,31.25,0.0000,0.2912,0.000,False
test_61,True,True,6.5846,1.32,9.69,0.1315,0.3095,0.000,False
test_62,True,True,1.6218,13.12,15.73,0.0000,0.3464,0.439,False
test_63,True,True,1.4040,30.11,32.43,0.0000,0.3637,0.000,False
test_64,True,True,0.9902,24.78,26.39,0.0000,0.2952,0.000,False
test_65,True,True,1.6592,7.30,9.99,0.0208,0.2321,0.509,True
