name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
test_0,True,True,0.5603,2.22,1.32,0.6576,0.5922,0.723,True
test_1,True,True,0.3511,0.55,1.12,0.7605,0.5782,0.710,True
test_2,True,True,2.9405,7.41,2.79,0.2924,0.3981,0.685,True
test_3,True,True,1.3780,3.04,0.80,0.6271,0.5728,0.698,True
test_4,True,True,1.1767,1.75,0.15,0.6947,0.4988,0.646,True
test_5,True,True,0.8227,1.53,0.22,0.7854,0.5824,0.662,True
test_6,True,True,0.5102,2.33,3.16,0.4194,0.4901,0.619,True
test_7,True,True,28.6343,99.94,54.30,0.0274,0.5519,0.693,False
test_8,True,True,0.5520,1.97,1.04,0.7593,0.5735,0.698,True
test_9,True,True,0.1991,1.52,1.20,0.6605,0.6099,0.699,True
test_10,True,True,0.8685,1.70,0.26,0.7996,0.6341,0.699,True
test_11,True,True,13.3511,56.78,35.86,0.0000,0.4436,0.000,False
test_12,True,True,23.6541,84.00,46.45,0.0251,0.4292,0.682,False
test_13,True,True,4.1042,5.22,1.96,0.2119,0.3345,0.663,True
test_14,True,True,15.7367,49.66,24.92,0.0527,0.5468,0.000,False
test_15,True,True,0.9147,0.34,1.15,0.7062,0.5232,0.644,True
test_16,True,True,0.5428,0.43,0.43,0.7875,0.5580,0.683,True
test_17,True,True,4.5681,14.81,7.55,0.1445,0.2115,0.438,False
test_18,True,True,1.1323,2.34,0.47,0.6979,0.6235,0.669,True
test_19,True,True,0.1194,0.05,0.14,1.0000,0.5920,0.707,True
test_20,True,True,7.1585,5.45,17.23,0.0750,0.3897,0.000,False
test_21,True,True,2.8114,7.49,2.88,0.3063,0.4258,0.571,True
test_22,True,True,2.3087,7.60,3.79,0.2881,0.3349,0.614,True
test_23,True,True,1.0686,20.05,21.81,0.0000,0.3975,0.000,False
test_24,True,True,1.2237,0.18,2.18,0.5452,0.3305,0.600,True
test_25,True,True,1.3465,6.37,4.15,0.2921,0.3743,0.644,True
test_26,True,True,6.0263,38.25,28.21,0.0000,0.2960,0.000,False
test_27,True,True,0.7236,21.92,20.73,0.0000,0.4345,0.000,False
test_28,True,True,0.6531,3.18,2.08,0.4919,0.4070,0.681,True
test_29,True,True,5.8007,39.01,29.51,0.0000,0.4829,0.663,False
test_30,True,True,0.4072,0.30,0.39,0.8721,0.6119,0.719,True
test_31,True,True,0.1696,0.67,0.39,0.8721,0.5964,0.692,True
test_32,True,True,0.9566,1.54,0.07,0.6981,0.6328,0.709,True
test_33,True,True,0.4523,1.48,0.71,0.7958,0.5572,0.670,True
test_34,True,True,0.5051,1.27,0.47,0.7548,0.5321,0.674,True
test_35,True,True,1.0267,0.97,2.61,0.4753,0.4422,0.683,True
test_36,True,True,6.3650,4.73,14.88,0.0845,0.5469,0.000,False
test_37,True,True,0.2269,0.53,0.92,0.7602,0.5496,0.682,True
test_38,True,True,1.6905,4.52,1.80,0.4632,0.4780,0.669,True
test_39,True,True,0.2133,0.88,0.54,0.8703,0.5757,0.652,True
test_40,True,True,1.3997,2.40,0.10,0.6007,0.4671,0.676,True
test_41,True,True,1.7290,3.89,1.03,0.4912,0.5732,0.711,True
test_42,True,True,0.8840,0.77,0.74,0.7081,0.6245,0.677,True
test_43,True,True,0.0557,0.09,0.01,1.0000,0.5257,0.665,True
test_44,True,True,0.6515,1.98,0.92,0.6591,0.5294,0.609,True
test_45,True,True,0.3304,0.68,1.24,0.6612,0.5386,0.687,True
test_46,True,True,28.9769,95.35,49.10,0.0283,0.6393,0.698,False
test_47,True,True,2.9913,6.61,1.91,0.3137,0.4537,0.584,True
test_48,True,True,2.7808,5.96,1.45,0.3349,0.5497,0.626,True
test_49,True,True,0.7821,1.26,0.05,0.7608,0.4989,0.668,True
test_50,True,True,0.3004,2.43,1.91,0.4925,0.5293,0.697,True
test_51,True,True,0.8624,2.35,0.91,0.7065,0.5577,0.715,True
test_52,True,True,0.7420,0.79,0.40,0.7505,0.5395,0.669,True
test_53,True,True,2.0061,4.71,1.40,0.4320,0.4729,0.714,True
