name,gt_ok,pred_ok,angle_error,lateral_near,lateral_far,line_iou,nav_iou,confidence,accurate
trajectory01_RGB_001_VIDSET_20260513_060735_realsense_color_frame_000001,False,True,nan,nan,nan,nan,0.0000,0.134,False
trajectory01_RGB_002_VIDSET_20260513_060735_realsense_color_frame_000151,True,True,34.3614,41.27,17.16,0.0235,0.0000,0.058,False
trajectory01_RGB_003_VIDSET_20260513_060735_realsense_color_frame_000301,True,False,nan,nan,nan,nan,0.0000,0.000,False
trajectory01_RGB_004_VIDSET_20260513_060735_realsense_color_frame_000451,True,False,nan,nan,nan,nan,0.0000,0.000,False
trajectory01_RGB_005_VIDSET_20260513_060735_realsense_color_frame_000601,True,True,16.0285,27.21,0.12,0.0499,0.0000,0.112,False
trajectory01_RGB_006_VIDSET_20260513_060735_realsense_color_frame_000751,True,True,15.9585,31.50,4.40,0.0490,0.0000,0.114,False
trajectory01_RGB_007_VIDSET_20260513_060735_realsense_color_frame_000901,True,True,15.9372,15.78,10.58,0.0504,0.1367,0.084,False
trajectory01_RGB_008_VIDSET_20260513_061347_realsense_color_frame_000051,False,True,nan,nan,nan,nan,0.0000,0.519,False
trajectory01_RGB_010_VIDSET_20260513_061347_realsense_color_frame_000351,True,True,18.4395,20.15,9.11,0.0451,0.0504,0.530,False
trajectory01_RGB_011_VIDSET_20260513_061347_realsense_color_frame_000501,True,True,22.4964,17.34,18.79,0.0358,0.1135,0.544,False
trajectory01_RGB_012_VIDSET_20260513_061347_realsense_color_frame_000651,True,True,25.5997,19.21,22.42,0.0310,0.1097,0.571,False
trajectory01_RGB_014_VIDSET_20260513_062211_realsense_color_frame_000109,True,False,nan,nan,nan,nan,0.0000,0.000,False
trajectory01_RGB_015_VIDSET_20260513_062211_realsense_color_frame_000259,True,False,nan,nan,nan,nan,0.0000,0.000,False
trajectory01_RGB_016_VIDSET_20260513_062211_realsense_color_frame_000409,False,False,nan,nan,nan,nan,nan,0.000,False
trajectory01_RGB_017_VIDSET_20260513_062211_realsense_color_frame_000559,True,True,22.8236,23.76,13.95,0.0338,0.0039,0.064,False
trajectory01_RGB_018_VIDSET_20260513_062211_realsense_color_frame_000709,True,True,13.4540,24.08,2.44,0.0604,0.0000,0.073,False
trajectory01_RGB_019_VIDSET_20260513_063117_realsense_color_frame_000045,True,True,23.3167,29.77,9.05,0.0343,0.0000,0.068,False
trajectory02_RGB_007_VIDSET_20260513_065254_realsense_color_frame_000227,True,True,33.3053,16.34,70.54,0.0249,0.0000,0.056,False
